"time","x","y","z","abs"
1.193542552E0,2.049436569E0,6.703764796E-1,2.183511972E0,3.068765128E0
1.213538906E0,2.202665567E0,1.197100878E0,2.930502892E0,3.856505324E0
1.233529687E0,1.857900500E0,9.481038451E-1,1.800439715E0,2.755408924E0
1.253530833E0,1.254561663E0,7.565677166E-1,1.819593310E-1,1.476288885E0
1.273533073E0,1.206677675E0,6.129156351E-1,4.405331016E-1,1.423308119E0
1.293577448E0,1.647210717E0,9.385270476E-1,6.033388376E-1,1.989510975E0
1.313546354E0,2.202665567E0,8.044517636E-1,-4.118026793E-1,2.380852723E0
1.333527448E0,2.288856745E0,1.292868972E0,2.489969730E-1,2.640525491E0
1.353518958E0,1.570596337E0,6.607996821E-1,-5.267243981E-1,1.783498715E0
1.373525312E0,1.991975784E0,4.118026793E-1,-1.264138460E0,2.394910232E0
1.393524062E0,3.141192675E0,1.244984865E0,-8.427590132E-1,3.482430400E0
1.413514583E0,2.451662540E0,1.331176162E0,3.256114423E-1,2.808683321E0
1.433536666E0,4.309563041E-1,1.053448766E-1,3.160346150E-1,5.447006122E-1
1.453539739E0,-1.072602391E0,-1.436521053E0,1.915361285E-1,1.802984946E0
1.473568698E0,-1.474828243E0,-1.790862918E0,3.830722570E-1,2.351393776E0
1.493538437E0,-9.385270476E-1,-1.484405041E0,1.034295082E0,2.038150549E0
1.513531718E0,-1.417367458E0,-1.350329757E0,9.768342972E-1,2.187813111E0
1.533529635E0,-1.886630893E0,-1.484405041E0,-3.830722570E-1,2.430962526E0
1.553534427E0,-1.388636947E0,-1.273715258E0,-2.049436569E0,2.784035448E0
1.573522291E0,-5.937620401E-1,-1.350329757E0,-3.064578056E0,3.401114887E0
1.593543541E0,2.394201756E-1,-9.672574997E-1,-2.844311714E0,3.013804609E0
1.613532552E0,1.589749932E0,-2.968810201E-1,-2.375048161E0,2.873377273E0
1.633521510E0,1.599326730E0,2.968810201E-1,-7.661445439E-2,1.628451443E0
1.653520052E0,1.647210717E0,1.628057212E-1,1.197100878E0,2.042757783E0
1.673841562E0,1.177947283E0,-4.022258818E-1,3.926490843E-1,1.305189168E0
1.693524062E0,1.120486379E0,-1.819593310E-1,2.298433632E-1,1.158199851E0
1.713522656E0,1.350329757E0,1.283292055E0,3.035847664E0,3.561825373E0
1.733521250E0,1.177947283E0,1.005564690E0,3.754108191E0,4.061040317E0
1.753521041E0,1.532289088E-1,-1.340752989E-1,1.589749932E0,1.602735203E0
1.773534218E0,2.681505978E-1,-3.830722570E-1,6.224924326E-1,7.785537399E-1
1.793533854E0,2.106897533E-1,-3.160346150E-1,-2.011129409E-1,4.297842075E-1
