time,id,rssi
1708891154674 , 52:c4:dd:de:28:e2 , -77
1708891154674 , d8:21:da:63:e6:a4 , -91
1708891154674 , 58:27:8c:90:49:51 , -84
1708891154674 , 50:c4:dd:c6:8f:37 , -67
1708891154674 , 74:03:bd:e1:55:37 , -90
1708891154674 , bc:5c:4c:ae:b5:92 , -91
1708891154674 , 08:10:86:98:a1:53 , -86
1708891154674 , 10:66:82:7f:ca:16 , -76
1708891154674 , 90:96:f3:40:13:59 , -91
1708891154674 , 08:10:86:98:a1:52 , -82
1708891154675 , 02:16:78:25:d0:d0 , -90
1708891154675 , 90:96:f3:40:13:5f , -91
1708891154675 , 30:f7:72:b7:4c:28 , -72
1708891154675 , 12:66:82:7f:ca:16 , -78
1708891154675 , 38:e0:8e:cd:cd:3b , -83
1708891154675 , 92:96:f3:40:13:53 , -83
1708891154675 , 90:96:f3:40:13:5a , -93
1708891154675 , 30:f7:72:b7:4c:29 , -86
1708891154675 , 08:10:86:98:70:f6 , -74
1708891154676 , 92:96:f3:40:13:52 , -83
1708891154676 , 08:10:86:98:96:92 , -76
1708891154676 , 50:c4:dd:c6:8f:30 , -68
1708891154676 , 50:c4:dd:ce:28:e2 , -85
1708891154676 , 08:10:86:98:70:f7 , -81
1708891159839 , 58:27:8c:a0:76:c1 , -82
1708891159840 , 6a:db:f5:00:eb:9f , -88
1708891159840 , 74:03:bd:e1:55:30 , -88
1708891159840 , 08:10:86:98:96:93 , -82
1708891159840 , 58:27:8c:90:49:50 , -84
1708891159840 , 08:10:86:98:27:42 , -87
1708891159840 , d8:21:da:63:e6:a4 , -91
1708891159840 , 58:27:8c:90:49:51 , -84
1708891159840 , 50:c4:dd:c6:8f:37 , -68
1708891159840 , 74:03:bd:e1:55:37 , -90
1708891159840 , bc:5c:4c:ae:b5:92 , -91
1708891159840 , 08:10:86:98:a1:53 , -86
1708891159840 , 10:66:82:7f:ca:16 , -76
1708891159840 , 90:96:f3:40:13:59 , -91
1708891159840 , 08:10:86:98:a1:52 , -83
1708891159840 , 02:16:78:25:d0:d0 , -89
