,x_mean,x_std,x_min,x_25%,x_50%,x_75%,x_max,y_mean,y_std,y_min,y_25%,y_50%,y_75%,y_max,z_mean,z_std,z_min,z_25%,z_50%,z_75%,z_max,answer
950,-0.02121081972,1.1108476268937533,-3.9202209,-0.33142167,0.114511252,0.6062104,1.3465512,-0.01082461062520001,0.6450627934560658,-1.5927966,-0.29205333749999995,0.00014716387,0.265260755,1.7527673,-0.04521179254800001,0.38514811012825256,-0.8136692,-0.32752323250000004,-0.0650553705,0.13145971,1.080862,1
1000,0.008561867676000002,0.25094437255481955,-0.9167638,-0.06715375,0.0520360465,0.1706570975,0.3609476,-0.036956586179999994,0.7720471143235386,-3.0566833,-0.181304705,0.0731855025,0.40043945,1.1457605,-0.11036001218399999,0.25617640339999603,-0.62058926,-0.31112527500000003,-0.11730099,0.0764205455,0.34138966,1
1050,-0.006250595503999998,0.1761707415033375,-0.42029023,-0.1398630175,0.0153514145,0.10629487,0.33834147,-0.022909370659999997,0.4862963616076743,-0.9913688,-0.36980221,0.032930493500000005,0.314446265,0.8803594,0.0030153659200000005,0.28576208725293845,-0.61182594,-0.21659064,0.004494667000000001,0.2138707625,0.53652954,1
1100,0.015255703156999999,0.21710368300970193,-0.5082412,-0.123476325,0.046821475,0.16927987,0.3826182,0.101493882134,0.3803847398374985,-0.81812257,-0.13163136,0.13362792499999998,0.37435458250000003,0.8601111,-0.026166000040000005,0.2270404547482092,-0.4072504,-0.22282314,-0.0772013675,0.12154174250000001,0.53884125,1
1150,0.013682196125999998,0.14777503331925004,-0.24914312,-0.075760424,-0.028427601,0.09646558999999999,0.47015536,-0.011756243789999999,0.3191775497773273,-0.9332757,-0.1807036375,-0.0375413895,0.130385635,1.0952778,-0.018962478414000002,0.4158218638659252,-1.2607064,-0.13704943649999998,0.014513492499999999,0.2326544525,0.90178776,1
1200,0.036097358947999994,0.6641444100742182,-1.5690675,-0.339177585,0.0197623962,0.378296765,1.5612242,0.042050647219999994,0.5236930937717716,-1.4415653,-0.1602970365,0.0330432645,0.313497425,1.8361351,-0.04742118862599999,0.3685144544755487,-1.0353346,-0.204049585,-0.022026538,0.1418352125,0.9521084,1
1250,0.07051760483999998,0.2256753406454364,-0.5812463,-0.03137621275,0.086377025,0.19233924,0.45392132,0.008530015219999996,0.33927865410160163,-0.96217453,-0.164830635,0.055181205,0.1945579325,0.8805296,-0.01240428944,0.19649416938390293,-0.42042446,-0.152903555,0.0028901100000000013,0.13193536,0.35644054,1
1300,-0.065688703244,0.2542591971988966,-0.7801784,-0.1537267575,0.0030491947500000003,0.114886404,0.31017208,0.08684435133400001,0.23962195966842936,-0.37164092,-0.0797033315,0.055009126000000005,0.235856295,0.666784,0.06412157926,0.2754388245919345,-0.5702224,-0.0577638155,0.104590655,0.2424528575,0.6659565,1
1350,0.131160409092,0.343226316368235,-0.5371701,-0.07523584575,0.105780245,0.27103919,1.03967,0.052523699515999986,0.3750517334089932,-0.5332098,-0.234355215,-0.0008823870999999999,0.19945859999999999,1.4532614,0.04040089537199999,0.3378922154593143,-0.8477073,-0.19852268750000002,0.019366263999999998,0.3074579225,0.6876974,1
1400,-0.18966951385999997,1.023363589657455,-1.8960539,-0.97671205,-0.13974893,0.4213929575,2.4574902,0.012668299799999989,0.7837205701280454,-1.4708767,-0.507992445,-0.23412835499999998,0.420845505,1.6366458,0.08673055662000001,0.5119533173196232,-1.0408368,-0.2533624125,0.13479518499999998,0.36127400249999997,1.6896124,1
