,x_mean,x_std,x_min,x_25%,x_50%,x_75%,x_max,y_mean,y_std,y_min,y_25%,y_50%,y_75%,y_max,z_mean,z_std,z_min,z_25%,z_50%,z_75%,z_max
500,0.161806534568,2.0656646644416696,-4.956581,-1.076260725,0.216119765,1.1904146325,4.6835737,-0.21904562111999998,1.8522047539803692,-5.556721,-1.3045223250000002,-0.33330225999999996,0.8383855,4.235504,-0.042027752199999976,2.9568116839565723,-6.7584414,-1.573474325,-0.09622282,0.868080705,10.80197
550,0.6518160857,1.237152541540239,-1.3285017,-0.09877572500000001,0.297471715,1.4822137249999998,3.7768807,-0.3729960094,1.5054389314399348,-4.0848856,-1.295341425,-0.289541245,0.61424255,2.5144653,-0.30429090451400004,0.9229526484678938,-2.4530058,-0.7611746625,-0.351734165,0.1695466025,2.7765374
600,0.031022545880000005,0.5591473227843463,-1.450307,-0.2911432075,0.001832544999999998,0.3815306425,1.3281274,0.052205754199999996,0.9672179565632577,-2.6956892,-0.382919785,0.12315082499999999,0.6508598375000001,2.2305083,-0.016873811319999998,1.0351794006806618,-3.460824,-0.6351338049999999,0.08569431,0.536104075,2.5281978
650,0.09783819787399999,0.762515892341356,-2.0927522,-0.423829765,0.128821013,0.724178725,1.4551094,0.03933676768,1.2650325536474032,-4.327347,-0.43227767500000003,0.0319066045,0.28780746749999997,4.303535,-0.07478602324000001,1.3455022073546647,-2.9905732,-0.926392675,-0.1636343,0.678605925,4.2078533
700,0.020680940474,0.30369567812866965,-0.8764384,-0.0642644765,0.08371687,0.221161125,0.5042033,-0.11299553390800002,0.47656082065687716,-1.2047749,-0.3631271125,-0.119558095,0.04264873325,1.0005827,0.03128191427999999,0.6731538050705377,-1.9585042,-0.2130490525,0.103270055,0.362227085,1.7168841
750,0.00023353580199999955,0.05581172387864708,-0.12994146,-0.036446571250000004,0.00204968455,0.0325425865,0.14460993,-0.05388378770000001,0.09149390092948866,-0.22503221,-0.1224272575,-0.06621033,0.012544422999999999,0.15291184,0.024123983566,0.07158075433690493,-0.18658638,-0.001615166625,0.033692360000000005,0.059449076249999996,0.17143345
800,0.0087369346132,0.05830408478661307,-0.14608479,-0.01543879525,0.020348072000000002,0.04856622225,0.11777592,-0.0322733996852,0.07908662685492783,-0.22934417,-0.07803607125,-0.040831209,0.0075312051,0.15645492,0.025440588019999995,0.08267426872918021,-0.13608313,-0.037645817,0.0205609795,0.09933722125,0.15728712
850,-0.005923299630000002,0.07689714849509278,-0.26298237,-0.042428971,0.00621724125,0.0431765325,0.116947174,-0.06184738264800001,0.16842588423270557,-0.6206696,-0.1505384475,-0.039537549,0.04685993375,0.28467607,0.0649422835758,0.12986299498787557,-0.12884235,-0.0266392235,0.042446374999999995,0.1182743325,0.45838022
900,0.03470196712,0.1309957630406083,-0.20297718,-0.05852425075,0.011458397,0.119072315,0.42392826,-0.03348980360000001,0.2486729057461705,-0.6724181,-0.233062865,-0.014494180499999999,0.13975667749999998,0.48739338,-0.071930332614,0.21156324160365086,-0.6305895,-0.2011492825,-0.061527133,0.053528189,0.3401158
950,0.1286297993574,0.5652889544979789,-1.08835,-0.033588789,0.17341643499999998,0.3625061775,2.117817,0.05640016891200001,0.9433082855925535,-2.300664,-0.434037165,0.09673604499999999,0.60013675,3.059529,-0.06219138299000001,0.56662008893981,-2.0295506,-0.3150135275,-0.071834803,0.171079155,2.2241988
