,x_mean,x_std,x_min,x_25%,x_50%,x_75%,x_max,y_mean,y_std,y_min,y_25%,y_50%,y_75%,y_max,z_mean,z_std,z_min,z_25%,z_50%,z_75%,z_max,answer
2000,0.088334476508,1.0229722311453269,-2.3593087,-0.30751734750000004,0.150851965,0.710366625,3.089652,0.06311735238,1.9119583932597175,-4.3564396,-1.00164685,-0.11978197,0.7101938725,6.2087536,-0.24142176823999997,0.9955068465722197,-2.9934592,-0.862925775,-0.152204755,0.33050906,2.4239202,2
2050,0.15397981926,1.3336352889849146,-3.9782841,-0.465044695,0.214020135,0.76059999,4.0339847,-0.12800374093599998,1.672613532106448,-5.18058,-1.265366175,-0.17167210500000002,0.33108377,6.328865,-0.10294961813999999,0.891344923142949,-2.4993343,-0.6989607800000001,-0.06972956500000001,0.67837714,1.4440193,2
2100,0.17490634317999998,1.1369606083464951,-2.5817297,-0.552228975,0.0004069805000000001,0.77803086,2.8103375,-0.10728342930000005,1.1706255438928723,-2.3092442,-0.877031805,-0.09468913000000001,0.65248597,2.4160385,-0.05080490951999999,0.7032386911839205,-2.2722678,-0.5468814399999999,0.018856763999999998,0.427911045,1.2810411,2
2150,0.08303218632000002,1.004728841097402,-2.3466682,-0.5772052624999999,0.097371457,0.5682831325,3.1886227,-0.06953290368000001,1.5823469664822818,-5.2736354,-0.94921422,0.085155485,0.8662460000000001,4.6912737,-0.17824002749999998,0.84982832047253,-2.049562,-0.66913559,-0.20740056,0.255429865,2.6170163,2
2200,0.08370156847999999,1.1814743662189557,-3.5762844,-0.402554975,0.129317642,0.724611675,2.9516602,-0.005385573899999983,1.495617301223672,-2.3271751,-0.9149279625,-0.27814674500000003,0.485005375,3.761752,-0.11107192614,1.4749234702821545,-4.7183824,-1.07233035,0.0192189215,0.885415775,2.8962865,2
2250,0.22716121115999996,1.4720633790448587,-2.9202042,-0.5032682375,-0.009936570999999998,0.9728341250000001,3.4403052,0.0902776322000001,2.3842044268551983,-8.266034,-1.1167004249999999,-0.0381908425,1.2627017249999999,5.341359,-0.010993796419999993,1.0328019938027937,-2.7779791,-0.7003574375,0.161334275,0.442050935,2.9092183,2
2300,0.16033738673999998,1.8709251764661405,-6.824033,-0.896538795,0.11691642,1.2066512500000002,4.1588955,-0.09540714227999998,2.021278572784613,-5.118125,-0.8722544950000001,-0.147747755,1.0211786250000001,5.281495,-0.09849892081999999,1.1617097772892373,-3.0636709,-0.69621205,0.068954943,0.530667775,2.0552573,2
2350,0.06806790474000005,1.6846672379514134,-4.720337,-0.81607235,-0.021497011500000003,1.25345305,3.1440048,0.17247089688000006,2.374809475082988,-4.3802,-1.237692725,-0.11131691999999999,1.3687740750000001,9.674276,-0.11430726899000002,1.0650424595447365,-3.8682861,-0.70006419,-0.03513359975,0.651029125,2.507433,2
2400,0.21631764003600001,1.979325176478205,-3.000992,-0.699873525,0.07922244149999999,0.8460901,9.032287,-0.11624984930599995,2.3205033925952745,-7.0145664,-0.873121855,0.0019068718499999997,0.98805094,4.9472146,-0.16257765506000002,1.1776646813487122,-3.4879344,-0.7348589999999999,0.019774437,0.500522625,2.73801,2
2450,0.06014545459400001,0.24214741707379592,-0.78005695,-0.039705634000000004,0.07385349499999999,0.1761842975,0.55669546,-0.03863420454000001,0.3154458580915194,-1.069314,-0.1801930675,-0.07092333,0.086199165,0.97223043,-0.056623799238,0.33024597522623,-1.0344334,-0.17370165,-0.06748127949999999,0.09269529500000001,0.5699606,2
