,x_mean,x_std,x_min,x_25%,x_50%,x_75%,x_max,y_mean,y_std,y_min,y_25%,y_50%,y_75%,y_max,z_mean,z_std,z_min,z_25%,z_50%,z_75%,z_max,answer
1050,-0.00026782968000000463,0.26323548736897345,-0.5201032,-0.205343545,-0.016699433,0.157150505,0.64009714,0.016481893016799996,0.4393530430493571,-1.0032663,-0.24493217250000002,-0.0009264945800000001,0.25209707000000003,0.9000368,0.034427614791999996,0.31466196234295174,-0.59718704,-0.213542935,0.01115560525,0.29656577,0.9637594,1
1100,0.013214446952000003,0.3966369411151348,-1.0079383,-0.2141072775,0.10186064,0.291084175,0.81755114,-0.013493069106000002,0.6834432960504911,-1.7733727,-0.4209853375,0.0057082177,0.358541785,1.9789951,-0.04480276220200001,0.5524244970344643,-1.7174649,-0.2959854625,-0.00473117805,0.32138371750000005,0.9500103,1
1150,0.017921031280000003,0.2573308179078662,-0.82307017,-0.0981101565,0.0392024225,0.16661684999999998,0.58501554,-0.041045775879999996,0.43937003865809626,-1.2205181,-0.3345473825,0.07317805499999999,0.25703031,0.8379159,-0.023913956,0.28300568063137715,-0.662488,-0.149913545,-0.061645985,0.096391797,0.96374893,1
1200,0.06006718948999998,0.7259817715769751,-2.1049504,-0.30081658,0.11783838,0.5544672875,1.683785,0.050444836740000006,0.37516777497786025,-0.7238884,-0.1201263925,0.10573850500000001,0.2528691875,1.0519284,-0.01923221465999999,0.7511220693622259,-2.3039584,-0.2181622975,0.152275085,0.44920492,1.1188745,1
1250,-0.018455886630000005,0.23496838170131817,-0.60849655,-0.103573412,0.0093885065,0.105011345,0.63166356,-0.03169403723999999,0.4803914499308178,-0.97316885,-0.3742969625,-0.058041273500000004,0.33836353750000003,0.838487,0.022778950220000004,0.31153677623439674,-0.6157503,-0.166616915,0.0545811665,0.16641902749999998,0.8219185,1
1300,0.034935645008000005,0.18769367039991125,-0.3598001,-0.0820018785,0.030953599999999998,0.1771313275,0.33261213,0.018305007960000005,0.35135574743377096,-0.6246853,-0.24576503,-0.027600646,0.23195290000000002,0.7117512,0.0329621893,0.3180075213141231,-0.89589596,-0.16906833500000001,0.0175967215,0.2392649625,0.7847729,1
1350,0.029226839018000005,0.16414239797206584,-0.3357259,-0.0479322635,0.012677118000000001,0.1641551575,0.37112534,0.008517447797999997,0.33778430930284986,-0.9531865,-0.12630104749999999,-0.0007507801000000001,0.22177660500000002,0.66821575,-0.002463504039999996,0.35886062866217716,-1.0152583,-0.20167112250000002,0.06581497,0.18396782750000001,0.79861355,1
1400,-0.016711765844,0.1305255399693817,-0.5294311,-0.07563263375,-0.0354986635,0.057570031,0.26209468,0.01556231404,0.30726734800921063,-0.6173177,-0.2038906825,0.016734719500000002,0.17789763,0.7374058,-0.02564088856000001,0.2777677905595578,-0.68348503,-0.179262395,-0.0238838195,0.14928054999999998,0.602829,1
1450,0.014934679791999994,0.22879184124658034,-0.45614743,-0.109364895,0.0026960372999999998,0.12012049999999999,0.6634067,-0.030791134820000007,0.35592394563872126,-0.6232166,-0.24006473750000001,-0.0736459475,0.2371864025,0.8227029,0.024417317217999997,0.482849783142374,-0.8710365,-0.2432119875,0.019618510999999998,0.25243759,1.1298695,1
1500,0.025097493819999997,0.22056689508998997,-0.5102191,-0.0933690675,0.05144322,0.125162184,0.84676886,0.056795475666,0.6647653508548867,-2.0335,-0.31370366,0.08377075249999999,0.4202468225,1.563194,0.041924526079999996,0.510280762559708,-1.2456512,-0.2403964975,0.07006216,0.3651204,1.1469917,1
