time,x,y,z,abu
1.139731765E1,-1.139640045E1,-1.179862595E1,4.252102375E0,1.694596979E1
1.141733312E1,-1.035252857E1,-1.206677628E1,3.620033026E0,1.630602884E1
1.143733729E1,-1.018972206E1,-1.245942593E1,3.227383852E0,1.641595981E1
1.145732041E1,-9.720458984E0,-1.322556973E1,2.470816135E0,1.659843215E1
1.147733052E1,-8.121131897E0,-1.471955204E1,1.618480325E0,1.688897493E1
1.149732208E1,-8.121131897E0,-1.471955204E1,1.618480325E0,1.688897493E1
1.151732083E1,-7.556100368E0,-1.542823601E1,1.580173135E0,1.725172647E1
1.153732406E1,1.331176162E0,-2.173935127E1,-3.687070608E0,2.208995051E1
1.155734198E1,1.737232780E1,-2.204580879E1,-7.393294811E0,2.902544172E1
1.157732364E1,3.641101837E1,-1.385763931E1,-5.075707436E0,3.928815639E1
1.159733218E1,3.756023788E1,-2.968810201E-1,7.996633530E0,3.840319982E1
1.161733406E1,2.577118683E1,9.184157372E0,6.799532890E0,2.819107066E1
1.163733098E1,2.827073288E1,1.242111874E1,1.886630893E0,3.093667572E1
1.165733984E1,4.005020523E1,1.392467690E1,6.655880928E0,4.292104748E1
1.167733640E1,4.057693100E1,1.146343803E1,2.298433542E0,4.222772238E1
1.169734411E1,3.212060928E1,5.995080948E0,-1.924938202E0,3.273194042E1
1.171732239E1,2.117432022E1,-1.704671621E0,-3.169923067E0,2.147803889E1
1.173732296E1,1.733402061E1,-4.414907932E0,-3.265691042E0,1.818308062E1
1.175732354E1,1.524627686E1,-6.521805286E0,-3.840299606E0,1.702148064E1
1.177730510E1,1.109951878E1,-9.069235802E0,-3.313575268E0,1.471156471E1
1.179732166E1,5.037400246E0,-1.136767006E1,-3.179499865E0,1.283388262E1
1.181732932E1,-1.953668594E0,-1.432690334E1,-3.227383852E0,1.481529571E1
1.183734119E1,-5.908889771E0,-1.490151119E1,-2.355894566E0,1.620247677E1
1.185734072E1,-6.579266071E0,-1.396298409E1,-1.216254473E0,1.548324713E1
1.187732937E1,-6.598419666E0,-1.299572659E1,5.841852427E-1,1.458661455E1
1.189732671E1,-8.140285492E0,-1.254561710E1,1.379060149E0,1.501860724E1
1.191731958E1,-1.058237171E1,-1.276588345E1,1.934514999E0,1.669421216E1
1.193731036E1,-1.272757626E1,-1.281376743E1,2.940079689E0,1.829830325E1
1.195732052E1,-1.321599293E1,-1.213381386E1,4.127603531E0,1.841002495E1
1.197731854E1,-1.250730991E1,-1.134851646E1,4.855441093E0,1.757261891E1
1.199732270E1,-1.213381386E1,-1.116655636E1,4.529829502E0,1.710089983E1
1.201749937E1,-1.155920601E1,-1.110909557E1,3.677493811E0,1.644844092E1
1.203734109E1,-1.053448772E1,-1.099417400E1,3.380612850E0,1.559730223E1
1.205733031E1,-1.008437729E1,-1.127190113E1,2.930502892E0,1.540578682E1
1.207732474E1,-9.682151794E0,-1.177947235E1,2.681505919E0,1.548194129E1
1.209732666E1,-9.337387085E0,-1.253604031E1,2.173935175E0,1.578179642E1
1.211736151E1,-9.433155060E0,-1.347456741E1,1.829170108E0,1.654975059E1
1.213732474E1,-9.969455719E0,-1.447055531E1,2.537853718E0,1.775465347E1
1.215733343E1,-1.086009884E1,-1.560061836E1,3.715801001E0,1.936822700E1
1.217769458E1,-1.228704357E1,-1.461420727E1,3.323152065E0,1.938014018E1
1.219732453E1,-9.634267807E0,-1.438436413E1,-9.385270476E-1,1.733810487E1
1.221731770E1,-1.465251446E0,-2.136585617E1,-5.928043365E0,2.222135167E1
1.223748927E1,8.044517517E0,-2.718855476E1,-5.602431774E0,2.890188599E1
1.225734786E1,3.227383804E1,-2.575203323E1,-7.125144482E0,4.189911123E1
1.227733520E1,4.648582077E1,-1.183693314E1,-2.106897533E-1,4.796966655E1
1.229732671E1,3.184288216E1,1.704671621E0,5.343858242E0,3.233313889E1
1.231733265E1,1.884715652E1,1.186566353E1,2.087743998E0,2.236890599E1
1.233734140E1,2.979344559E1,1.435563374E1,-1.244984865E-1,3.307187808E1
1.235732296E1,3.341347885E1,8.858546257E0,2.240972757E0,3.464038640E1
1.237735781E1,1.859815788E1,1.398213744E0,-1.886630893E0,1.874582232E1
1.239732416E1,1.178904915E1,-2.557007313E0,-1.446097851E0,1.214953354E1
1.241733427E1,1.332133865E1,-2.432508945E0,-6.033388376E-1,1.355504264E1
1.243732640E1,1.347456741E1,-4.146757126E0,-5.267243981E-1,1.410804736E1
1.245734177E1,9.366117477E0,-6.483498096E0,2.202665508E-1,1.139334988E1
1.247732791E1,4.520252705E0,-8.561665535E0,-1.149216816E-1,9.682355511E0
1.249734364E1,-2.375048161E0,-1.032379818E1,-1.417367458E0,1.068787131E1
1.251731906E1,-4.357447147E0,-9.318233490E0,-1.359906554E0,1.037623086E1
1.253734984E1,-4.548983097E0,-8.025363922E0,-8.331822157E-1,9.262499981E0
1.255733250E1,-6.148310184E0,-8.015787125E0,-2.375048161E0,1.037764015E1
1.257732166E1,-8.073247910E0,-8.293514252E0,-2.853888512E0,1.192075459E1
1.259733260E1,-9.270348549E0,-8.226476669E0,-3.505111217E0,1.288022070E1
1.261732994E1,-7.958326340E0,-7.029376030E0,-4.367023945E0,1.148120131E1
1.263735604E1,-7.259219646E0,-6.263231754E0,-4.884171486E0,1.076008703E1
1.265732474E1,-7.613561630E0,-5.813121796E0,-4.836287498E0,1.073072143E1
1.267731619E1,-8.283937454E0,-5.774814606E0,-4.041412354E0,1.087681559E1
1.269762171E1,-6.397306919E0,-4.606443882E0,-4.826710701E0,9.243484043E0
1.271732531E1,-4.625597477E0,-3.552995205E0,-4.338293552E0,7.269162118E0
1.273737708E1,-3.179499865E0,-2.193088770E0,-4.788403511E0,6.152045670E0
1.275734958E1,-3.303998232E0,-1.800439715E0,-3.936067581E0,5.445237873E0
1.277733468E1,-3.457227230E0,-1.714248419E0,-3.141192675E0,4.975757146E0
1.279733078E1,-3.409343243E0,-1.063025594E0,-3.256114244E0,4.832796782E0
1.281733046E1,-3.447650373E-1,-9.576806799E-3,-3.074155092E0,3.093442124E0
1.283733791E1,-4.118026793E-1,1.043871999E0,-1.886630893E0,2.195136971E0
1.285733552E1,-3.160346150E-1,2.020706177E0,-9.576807022E-1,2.258380760E0
1.287734354E1,-1.244984865E0,2.873042107E0,-4.022258818E-1,3.156920005E0
1.289732239E1,-8.140285611E-1,4.041412354E0,-7.661445141E-1,4.193165120E0
1.291731989E1,1.158793569E0,5.219359875E0,-1.168370485E0,5.472623651E0
1.293743500E1,3.734954596E0,4.510675907E0,-1.905784607E0,6.158579214E0
1.295733010E1,2.614468336E0,2.059013367E0,-1.369483352E0,3.598675503E0
1.297732724E1,4.788403511E-1,2.298433632E-1,-8.427590132E-1,9.961720774E-1
1.299731718E1,5.267243981E-1,-6.512228847E-1,3.734954596E-1,9.170761666E-1
1.301734593E1,1.149216771E0,-4.405331016E-1,2.039859772E0,2.382393017E0
1.303737661E1,1.800439715E0,2.873042040E-2,2.968810081E0,3.472209946E0
1.305732932E1,1.398213744E0,1.043871999E0,2.738966703E0,3.247554315E0
1.307732437E1,6.799532771E-1,1.647210717E0,2.097320795E0,2.752161718E0
1.309736515E1,2.202665508E-1,2.116474390E0,2.422932148E0,3.224683146E0
1.311732400E1,5.267243981E-1,2.240972757E0,2.126051188E0,3.133606731E0
1.313732411E1,5.554547906E-1,9.097966552E-1,2.489969730E-1,1.094650387E0
1.315732520E1,5.554547906E-1,9.097966552E-1,2.489969730E-1,1.094650387E0
1.317731182E1,2.968810201E-1,5.363011956E-1,4.979939461E-1,7.897817944E-1
1.319732036E1,3.064578176E-1,5.937620401E-1,-2.298433632E-1,7.066100239E-1
1.321733302E1,9.097966552E-1,1.493981838E0,-1.254561663E0,2.152588361E0
1.323734505E1,1.321599364E0,1.618480325E0,-1.388636947E0,2.508867476E0
1.325732864E1,7.852981687E-1,1.398213744E0,-1.177947283E0,1.989787599E0
1.327777963E1,5.458779931E-1,1.158793569E0,-8.619126081E-1,1.543916663E0
1.329732671E1,6.416460276E-1,9.864110947E-1,-1.216254473E0,1.692333128E0
1.331733468E1,2.968810201E-1,7.852981687E-1,-1.130063176E0,1.407790587E0
1.333733151E1,3.926490843E-1,9.576807022E-1,-7.086837292E-1,1.254415505E0
1.335768020E1,5.171475410E-1,1.149216771E0,-6.895300746E-1,1.436520967E0
1.337731869E1,3.064578176E-1,8.427590132E-1,-8.714894056E-1,1.250461088E0
1.339734489E1,4.405331016E-1,7.182605267E-1,-5.937620401E-1,1.030786572E0
1.341732312E1,2.968810201E-1,5.267243981E-1,-3.064578176E-1,6.778593701E-1
1.343734296E1,2.298433632E-1,4.884171486E-1,0.000000000E0,5.397955934E-1
1.345732953E1,1.340752989E-1,4.596867263E-1,-5.746084079E-2,4.822756684E-1
1.347732395E1,1.244984865E-1,4.692635238E-1,-1.149216816E-1,4.989139413E-1
1.349731598E1,6.703764945E-2,4.405331016E-1,-1.532289088E-1,4.712139201E-1
1.351733958E1,-5.746084079E-2,3.447650373E-1,-1.915361285E-1,3.985608708E-1
1.353733479E1,-8.619125932E-2,3.256114423E-1,-3.447650373E-1,4.819903272E-1
1.355796526E1,0.000000000E0,2.777273953E-1,-6.129156351E-1,6.729027284E-1
1.357733255E1,1.532289088E-1,2.489969730E-1,-6.033388376E-1,6.704448852E-1
1.359732874E1,1.244984865E-1,2.298433632E-1,-4.405331016E-1,5.122472629E-1
1.361733817E1,1.436520964E-1,2.298433632E-1,-4.213795066E-1,5.010235373E-1
1.363733223E1,1.915361285E-1,2.011129409E-1,-3.734954596E-1,4.654367431E-1
