time,pressure
1666845857248,1002.46063
1666845857270,1002.4462
1666845857288,1002.4351
1666845857310,1002.41077
1666845857328,1002.4235
1666845857348,1002.408
1666845857368,1002.4115
1666845857388,1002.3966
1666845857410,1002.42883
1666845857433,1002.39294
1666845857448,1002.39435
1666845857468,1002.4084
1666845857488,1002.4118
1666845857510,1002.41565
1666845857529,1002.4354
1666845857549,1002.4243
1666845857568,1002.44275
1666845857589,1002.4306
1666845857610,1002.4387
1666845857628,1002.4018
1666845857649,1002.4101
1666845857669,1002.40356
1666845857691,1002.44025
1666845857709,1002.44073
1666845857729,1002.4609
1666845857750,1002.47
1666845857769,1002.44604
1666845857788,1002.43744
1666845857810,1002.409
1666845857828,1002.4196
1666845857849,1002.38446
1666845857868,1002.4117
1666845857890,1002.4309
1666845857908,1002.39996
1666845857928,1002.4228
1666845857948,1002.37994
1666845857968,1002.3945
1666845857989,1002.4173
1666845858012,1002.40356
1666845858029,1002.3948
1666845858049,1002.4054
1666845858069,1002.40753
1666845858089,1002.4015
1666845858112,1002.4122
1666845858129,1002.4061
1666845858148,1002.38696
1666845858169,1002.3684
1666845858190,1002.4051
1666845858212,1002.39435
1666845858229,1002.38324
1666845858249,1002.4023
1666845858270,1002.38806
1666845858289,1002.43134
1666845858309,1002.41077
1666845858329,1002.43274
1666845858349,1002.4264
1666845858369,1002.44604
1666845858392,1002.4192
1666845858408,1002.38043
1666845858429,1002.37744
1666845858449,1002.3665
1666845858469,1002.35474
1666845858488,1002.3763
1666845858509,1002.37054
1666845858528,1002.37024
1666845858548,1002.3455
1666845858570,1002.3848
1666845858592,1002.3603
1666845858609,1002.39795
1666845858628,1002.4067
1666845858648,1002.39685
1666845858668,1002.4106
1666845858688,1002.38995
1666845858709,1002.4023
1666845858729,1002.4067
1666845858749,1002.40247
1666845858769,1002.4182
1666845858791,1002.39667
1666845858809,1002.4143
1666845858829,1002.4245
1666845858849,1002.41376
1666845858868,1002.4187
1666845858888,1002.4075
1666845858909,1002.43524
1666845858928,1002.40717
1666845858949,1002.36884
1666845858971,1002.39825
1666845858989,1002.40356
1666845859009,1002.39746
1666845859028,1002.3592
1666845859049,1002.38806
1666845859070,1002.39655
1666845859088,1002.38275
1666845859110,1002.38104
1666845859129,1002.40106
1666845859149,1002.39777
1666845859171,1002.4126
1666845859188,1002.3406
1666845859209,1002.3723
1666845859230,1002.38806
1666845859248,1002.4106
1666845859271,1002.4075
1666845859289,1002.4009
1666845859308,1002.3923
1666845859329,1002.39075
1666845859351,1002.4064
1666845859372,1002.4079
1666845859388,1002.3841
1666845859408,1002.3679
1666845859429,1002.39105
1666845859448,1002.37665
1666845859469,1002.3518
1666845859490,1002.36475
1666845859508,1002.3556
1666845859529,1002.4
1666845859552,1002.39166
1666845859572,1002.39935
1666845859589,1002.3678
1666845859610,1002.39417
1666845859628,1002.4162
1666845859650,1002.38446
1666845859668,1002.36884
1666845859690,1002.4109
1666845859708,1002.37134
1666845859729,1002.3723
1666845859751,1002.4117
1666845859768,1002.39124
1666845859789,1002.379
1666845859812,1002.3769
1666845859828,1002.39044
1666845859852,1002.3973
1666845859868,1002.40857
1666845859888,1002.4127
1666845859908,1002.4381
1666845859930,1002.40717
1666845859950,1002.40045
1666845859969,1002.397
1666845859988,1002.38245
1666845860008,1002.3567
1666845860028,1002.4106
1666845860048,1002.3576
1666845860068,1002.378
1666845860089,1002.38275
1666845860108,1002.3528
1666845860132,1002.3754
1666845860148,1002.38306
1666845860169,1002.3582
1666845860189,1002.3946
1666845860208,1002.40106
1666845860229,1002.402
1666845860248,1002.4002
1666845860270,1002.38196
1666845860288,1002.40466
1666845860308,1002.3561
1666845860330,1002.3509
1666845860348,1002.38684
1666845860369,1002.38873
1666845860388,1002.4228
1666845860408,1002.4304
1666845860428,1002.4112
1666845860449,1002.4031
1666845860468,1002.4229
1666845860488,1002.3698
1666845860510,1002.38324
1666845860532,1002.39075
1666845860548,1002.3848
1666845860570,1002.38055
1666845860589,1002.3873
1666845860608,1002.3763
1666845860632,1002.3709
1666845860648,1002.40686
1666845860669,1002.38403
1666845860688,1002.3751
1666845860711,1002.39276
1666845860732,1002.4042
1666845860750,1002.39276
1666845860769,1002.4176
1666845860788,1002.3846
1666845860811,1002.41125
1666845860834,1002.39044
1666845860850,1002.4217
1666845860868,1002.4095
1666845860890,1002.3787
1666845860911,1002.4039
1666845860928,1002.40607
1666845860950,1002.42523
1666845860969,1002.4228
1666845860989,1002.3768
1666845861008,1002.4012
1666845861029,1002.39575
1666845861050,1002.3459
1666845861069,1002.35803
1666845861088,1002.3701
1666845861110,1002.3634
1666845861128,1002.3475
1666845861149,1002.3661
1666845861168,1002.3763
1666845861189,1002.3576
1666845861212,1002.3645
1666845861228,1002.3673
1666845861248,1002.3639
1666845861268,1002.39264
1666845861290,1002.38354
1666845861309,1002.3486
1666845861329,1002.37994
1666845861349,1002.3682
1666845861369,1002.3367
1666845861388,1002.33496
1666845861414,1002.37836
1666845861430,1002.3476
1666845861448,1002.3531
1666845861469,1002.3617
1666845861490,1002.3639
1666845861508,1002.3431
1666845861530,1002.4022
1666845861550,1002.3526
1666845861569,1002.3489
1666845861589,1002.3506
1666845861608,1002.3596
1666845861629,1002.3392
1666845861648,1002.3173
1666845861670,1002.3406
1666845861690,1002.3532
1666845861708,1002.3707
1666845861729,1002.3592
1666845861748,1002.362
1666845861769,1002.3743
1666845861791,1002.3646
1666845861809,1002.3481
1666845861828,1002.3471
1666845861849,1002.37463
1666845861870,1002.3576
1666845861888,1002.3848
1666845861910,1002.36237
1666845861928,1002.37964
1666845861949,1002.3363
1666845861971,1002.3528
1666845861988,1002.3429
1666845862009,1002.3401
1666845862028,1002.3434
1666845862049,1002.38556
1666845862070,1002.3109
1666845862088,1002.31024
1666845862110,1002.3476
1666845862128,1002.3409
1666845862148,1002.3246
1666845862169,1002.3197
1666845862188,1002.32196
1666845862208,1002.34436
1666845862228,1002.32776
1666845862248,1002.32324
1666845862271,1002.3312
1666845862290,1002.3504
1666845862308,1002.32324
1666845862328,1002.3475
1666845862348,1002.3525
1666845862371,1002.3638
1666845862389,1002.32263
1666845862408,1002.34467
1666845862428,1002.3726
1666845862452,1002.37854
1666845862468,1002.34503
1666845862489,1002.33167
1666845862508,1002.33057
1666845862529,1002.31866
1666845862550,1002.3062
1666845862568,1002.30743
1666845862589,1002.2809
1666845862608,1002.32074
1666845862630,1002.3134
1666845862650,1002.3067
1666845862668,1002.2823
1666845862689,1002.3062
1666845862708,1002.32135
1666845862728,1002.3484
1666845862750,1002.30786
1666845862769,1002.3028
1666845862789,1002.3359
1666845862808,1002.3454
1666845862828,1002.32806
1666845862851,1002.32275
1666845862869,1002.30884
1666845862888,1002.3273
1666845862908,1002.3067
1666845862930,1002.33435
1666845862952,1002.3409
1666845862968,1002.3043
1666845862988,1002.33575
1666845863009,1002.294
1666845863028,1002.342
1666845863048,1002.2996
1666845863069,1002.3028
1666845863088,1002.3123
1666845863108,1002.2867
1666845863128,1002.3043
1666845863154,1002.2799
1666845863169,1002.314
1666845863188,1002.2957
1666845863208,1002.3068
1666845863229,1002.3009
1666845863249,1002.30664
1666845863269,1002.32837
1666845863288,1002.3012
1666845863308,1002.2825
1666845863330,1002.2798
1666845863348,1002.31665
1666845863370,1002.2928
1666845863389,1002.2886
1666845863409,1002.3007
1666845863428,1002.2789
1666845863449,1002.2723
1666845863468,1002.3048
1666845863489,1002.27
1666845863509,1002.30804
1666845863530,1002.2921
1666845863550,1002.2932
1666845863569,1002.3001
1666845863588,1002.2745
1666845863608,1002.3054
1666845863629,1002.2396
1666845863648,1002.2798
1666845863668,1002.2897
1666845863688,1002.2687
1666845863710,1002.2795
1666845863732,1002.3115
1666845863749,1002.32764
1666845863768,1002.26715
1666845863789,1002.337
1666845863810,1002.296
1666845863830,1002.2635
1666845863849,1002.2867
1666845863869,1002.2823
1666845863888,1002.27716
1666845863909,1002.2861
1666845863929,1002.33075
1666845863950,1002.2799
1666845863969,1002.26886
1666845863990,1002.2879
1666845864008,1002.26166
1666845864028,1002.2851
1666845864048,1002.2673
1666845864068,1002.2515
1666845864089,1002.25696
1666845864111,1002.25024
1666845864129,1002.2473
1666845864149,1002.26263
1666845864168,1002.27277
1666845864189,1002.26385
1666845864209,1002.2609
1666845864228,1002.26654
1666845864249,1002.29553
1666845864268,1002.2778
1666845864290,1002.24243
1666845864313,1002.24384
1666845864329,1002.2643
1666845864349,1002.2576
1666845864369,1002.2806
1666845864390,1002.2315
1666845864409,1002.26324
1666845864429,1002.2376
1666845864448,1002.284
1666845864469,1002.26215
1666845864490,1002.26776
1666845864508,1002.24133
1666845864529,1002.2752
1666845864548,1002.2292
1666845864568,1002.3037
1666845864589,1002.2459
1666845864609,1002.2365
1666845864630,1002.2448
1666845864648,1002.26276
1666845864669,1002.23615
1666845864692,1002.21545
1666845864708,1002.2335
1666845864729,1002.2242
1666845864749,1002.2669
1666845864768,1002.254
1666845864789,1002.27795
1666845864809,1002.26215
1666845864829,1002.2468
1666845864848,1002.22266
1666845864867,1002.2301
1666845864888,1002.2225
1666845864908,1002.252
1666845864929,1002.2734
1666845864948,1002.26245
1666845864971,1002.2256
1666845864988,1002.2767
1666845865009,1002.24915
1666845865027,1002.2512
1666845865047,1002.25934
1666845865069,1002.19446
1666845865092,1002.25635
1666845865109,1002.2504
1666845865128,1002.25665
1666845865149,1002.236
1666845865169,1002.229
1666845865188,1002.2167
1666845865210,1002.2448
1666845865228,1002.2209
1666845865248,1002.2096
1666845865271,1002.2218
1666845865288,1002.18713
1666845865308,1002.2239
1666845865329,1002.2345
1666845865349,1002.2325
1666845865368,1002.2445
1666845865389,1002.224
1666845865409,1002.2328
1666845865429,1002.1999
1666845865450,1002.2353
1666845865474,1002.25305
1666845865488,1002.21246
1666845865508,1002.2198
1666845865529,1002.19025
1666845865550,1002.21857
1666845865568,1002.2178
1666845865589,1002.20013
1666845865608,1002.2122
1666845865629,1002.2048
1666845865651,1002.1923
1666845865668,1002.23615
1666845865689,1002.232
1666845865708,1002.20245
1666845865728,1002.18384
1666845865749,1002.2392
1666845865768,1002.25433
1666845865791,1002.20276
1666845865809,1002.1785
1666845865829,1002.19635
1666845865850,1002.1785
1666845865869,1002.2048
1666845865888,1002.21497
1666845865908,1002.2203
1666845865929,1002.1836
1666845865950,1002.1951
1666845865968,1002.20197
1666845865988,1002.217
1666845866009,1002.24927
1666845866029,1002.2143
1666845866052,1002.20306
1666845866068,1002.20325
1666845866088,1002.2179
1666845866109,1002.19354
1666845866129,1002.19293
1666845866148,1002.1888
1666845866169,1002.1854
1666845866191,1002.1997
1666845866209,1002.19086
1666845866231,1002.1829
1666845866248,1002.1692
1666845866269,1002.20135
1666845866288,1002.20245
1666845866310,1002.1712
1666845866328,1002.19794
1666845866348,1002.21545
1666845866369,1002.19855
1666845866388,1002.19495
1666845866410,1002.2065
1666845866432,1002.1661
1666845866448,1002.20514
1666845866469,1002.18384
1666845866488,1002.20166
1666845866510,1002.18555
1666845866530,1002.2127
1666845866549,1002.1686
1666845866568,1002.19775
1666845866588,1002.1721
1666845866609,1002.1721
1666845866628,1002.14056
1666845866648,1002.13434
1666845866669,1002.14557
1666845866689,1002.13196
1666845866708,1002.13135
1666845866728,1002.1834
1666845866749,1002.1712
1666845866768,1002.1636
1666845866788,1002.171
1666845866808,1002.1609
1666845866828,1002.1859
1666845866849,1002.1592
1666845866868,1002.1512
1666845866889,1002.1827
1666845866908,1002.15436
1666845866928,1002.14996
1666845866949,1002.1876
1666845866968,1002.2321
1666845866987,1002.21466
1666845867010,1002.1639
1666845867028,1002.21783
1666845867048,1002.1767
1666845867068,1002.1884
1666845867088,1002.1667
1666845867110,1002.167
1666845867129,1002.1817
1666845867149,1002.12415
1666845867168,1002.12933
1666845867191,1002.13306
1666845867210,1002.15326
1666845867228,1002.1234
1666845867249,1002.0964
1666845867269,1002.1228
1666845867288,1002.1578
1666845867308,1002.14575
1666845867328,1002.1594
1666845867348,1002.1746
1666845867369,1002.1298
1666845867391,1002.1437
1666845867409,1002.14777
1666845867429,1002.14606
1666845867448,1002.1653
1666845867469,1002.1526
1666845867488,1002.1542
1666845867509,1002.1579
1666845867529,1002.14105
1666845867549,1002.1614
1666845867569,1002.1712
1666845867592,1002.15106
1666845867609,1002.20355
1666845867630,1002.1656
1666845867649,1002.1735
1666845867670,1002.1823
1666845867688,1002.18854
1666845867708,1002.15356
1666845867729,1002.14655
1666845867749,1002.1471
1666845867769,1002.1209
1666845867789,1002.1234
1666845867808,1002.1528
1666845867828,1002.1106
1666845867849,1002.1167
1666845867868,1002.1085
1666845867892,1002.1042
1666845867908,1002.1471
1666845867928,1002.13184
1666845867948,1002.1726
1666845867971,1002.1618
1666845867989,1002.1898
1666845868009,1002.15845
1666845868028,1002.19183
1666845868048,1002.15106
1666845868069,1002.19244
1666845868088,1002.171
1666845868109,1002.18097
1666845868142,1002.1826
1666845868149,1002.17053
1666845868168,1002.1721
1666845868188,1002.1662
1666845868210,1002.20886
1666845868229,1002.1527
1666845868249,1002.144
1666845868272,1002.15137
1666845868288,1002.13165
1666845868308,1002.1636
1666845868329,1002.14496
1666845868348,1002.14667
1666845868368,1002.1376
1666845868388,1002.14667
1666845868407,1002.1671
1666845868427,1002.1542
1666845868447,1002.1393
1666845868470,1002.1346
1666845868488,1002.1704
1666845868508,1002.187
1666845868528,1002.162
1666845868548,1002.1712
1666845868568,1002.17365
1666845868589,1002.1559
1666845868609,1002.14166
1666845868628,1002.18463
1666845868648,1002.13196
1666845868668,1002.1554
1666845868689,1002.1751
1666845868708,1002.19354
1666845868728,1002.16583
1666845868750,1002.1625
1666845868768,1002.1926
1666845868789,1002.1595
1666845868808,1002.17365
1666845868828,1002.1501
1666845868850,1002.1476
1666845868869,1002.14154
1666845868888,1002.1632
1666845868908,1002.1567
1666845868930,1002.14136
1666845868951,1002.12213
1666845868968,1002.15826
1666845868990,1002.1818
1666845869009,1002.1526
1666845869028,1002.1721
1666845869052,1002.15326
1666845869069,1002.1598
1666845869089,1002.13635
1666845869109,1002.1664
1666845869128,1002.1617
1666845869150,1002.13873
1666845869169,1002.1653
1666845869189,1002.162
1666845869208,1002.1951
1666845869229,1002.1614
1666845869248,1002.1731
1666845869269,1002.20325
1666845869288,1002.14166
1666845869309,1002.1593
1666845869332,1002.1437
1666845869349,1002.13446
1666845869370,1002.1445
1666845869389,1002.14325
1666845869408,1002.1198
1666845869431,1002.144
1666845869448,1002.12054
1666845869468,1002.12573
1666845869488,1002.15686
1666845869510,1002.14825
1666845869533,1002.14465
1666845869548,1002.13385
1666845869569,1002.1182
1666845869589,1002.14276
1666845869609,1002.1346
1666845869629,1002.13855
1666845869648,1002.1187
1666845869668,1002.176
1666845869688,1002.13617
1666845869709,1002.1324
1666845869727,1002.12915
1666845869750,1002.12524
1666845869769,1002.127
1666845869788,1002.1131
1666845869809,1002.1173
1666845869828,1002.09216
1666845869849,1002.08716
1666845869868,1002.14166
1666845869888,1002.1165
1666845869909,1002.1135
1666845869928,1002.114
1666845869950,1002.13116
1666845869968,1002.1148
1666845869988,1002.13873
1666845870009,1002.14886
1666845870027,1002.0945
1666845870049,1002.1168
1666845870068,1002.12854
1666845870088,1002.1075
1666845870109,1002.1137
1666845870128,1002.1248
1666845870149,1002.1647
1666845870168,1002.10803
1666845870190,1002.1337
1666845870212,1002.1635
1666845870228,1002.13556
1666845870248,1002.12933
1666845870268,1002.14825
1666845870289,1002.1092
1666845870308,1002.0978
1666845870330,1002.099
1666845870348,1002.07745
1666845870368,1002.0971
1666845870389,1002.1263
1666845870408,1002.1059
1666845870429,1002.1207
1666845870448,1002.0929
1666845870468,1002.12524
1666845870488,1002.1036
1666845870508,1002.11066
1666845870529,1002.1171
1666845870548,1002.0929
1666845870569,1002.1084
1666845870591,1002.0973
1666845870608,1002.06665
1666845870629,1002.07794
1666845870648,1002.1263
1666845870668,1002.1207
1666845870689,1002.1106
1666845870709,1002.1154
1666845870728,1002.095
1666845870748,1002.08746
1666845870768,1002.0607
1666845870791,1002.06415
